# Time-averaged data for fix PressAve1
# TimeStep v_Pressure
5100000 99.0426
5200000 99.7918
5300000 98.9877
5400000 97.6086
5500000 98.4144
5600000 98.7684
5700000 99.0729
5800000 97.8312
5900000 98.4807
6000000 98.6631
6100000 98.3016
6200000 96.9247
6300000 98.7702
6400000 99.7203
6500000 99.5777
6600000 97.8049
6700000 97.2268
6800000 99.7362
6900000 98.7342
7000000 99.3134
7100000 99.0277
7200000 97.7999
7300000 99.2178
7400000 99.1502
7500000 99.9404
7600000 97.751
7700000 99.3664
7800000 98.5514
7900000 97.736
8000000 99.1019
8100000 100.472
8200000 98.6685
8300000 98.8399
8400000 98.9634
8500000 99.1136
8600000 99.8625
8700000 99.7142
8800000 99.3586
8900000 98.2347
9000000 99.2588
9100000 97.8422
9200000 99.6924
9300000 98.6255
9400000 100.764
9500000 100.313
9600000 98.5574
9700000 99.2916
9800000 98.5652
9900000 98.8034
10000000 98.8373
10100000 99.8937
10200000 99.7773
10300000 97.803
10400000 97.8169
10500000 97.4555
10600000 97.4724
10700000 99.9262
10800000 99.7744
10900000 96.9783
11000000 97.2488
11100000 99.7876
11200000 98.46
11300000 98.1228
11400000 98.975
11500000 98.3355
11600000 97.6145
11700000 98.4004
11800000 97.8688
11900000 97.8624
12000000 98.6022
12100000 99.2831
12200000 99.592
12300000 99.3931
12400000 98.5666
12500000 97.7875
12600000 99.3509
12700000 98.6849
12800000 97.905
12900000 96.8508
13000000 99.8695
13100000 97.8331
13200000 97.9959
13300000 98.9661
13400000 99.7246
13500000 99.0009
13600000 100.797
13700000 97.7542
13800000 97.8405
13900000 100.066
14000000 99.7572
14100000 97.6338
14200000 97.7291
14300000 99.0837
14400000 97.9368
14500000 99.7045
14600000 97.8285
14700000 99.0957
14800000 98.1823
14900000 99.1551
15000000 99.5119
