# Time-averaged data for fix TempAve1
# TimeStep v_Temperature
5100000 252.993
5200000 253.09
5300000 253.059
5400000 252.961
5500000 252.955
5600000 252.934
5700000 252.989
5800000 252.849
5900000 253.019
6000000 252.963
6100000 253.059
6200000 252.946
6300000 252.985
6400000 252.819
6500000 253.203
6600000 253.022
6700000 252.852
6800000 253.157
6900000 252.945
7000000 253.056
7100000 252.925
7200000 252.927
7300000 252.997
7400000 252.964
7500000 252.914
7600000 253.129
7700000 253.169
7800000 253.1
7900000 252.886
8000000 252.974
8100000 252.851
8200000 252.99
8300000 252.917
8400000 252.966
8500000 253.133
8600000 252.939
8700000 252.993
8800000 252.984
8900000 252.924
9000000 253.046
9100000 253.063
9200000 252.825
9300000 253.145
9400000 253.046
9500000 252.969
9600000 252.94
9700000 253.007
9800000 252.922
9900000 252.946
10000000 252.877
10100000 252.85
10200000 253.045
10300000 252.949
10400000 252.981
10500000 253.147
10600000 252.994
10700000 253.124
10800000 252.979
10900000 253.068
11000000 252.893
11100000 252.914
11200000 253
11300000 253.132
11400000 252.97
11500000 252.945
11600000 252.994
11700000 253.012
11800000 253.135
11900000 253.145
12000000 252.911
12100000 252.983
12200000 253.143
12300000 252.978
12400000 253.032
12500000 252.936
12600000 253.05
12700000 253.079
12800000 253.023
12900000 253.041
13000000 252.974
13100000 252.933
13200000 252.917
13300000 252.948
13400000 252.93
13500000 252.958
13600000 252.94
13700000 253.067
13800000 252.92
13900000 252.967
14000000 253.027
14100000 252.945
14200000 253.083
14300000 252.97
14400000 253.129
14500000 253.091
14600000 252.822
14700000 253.106
14800000 253.067
14900000 252.908
15000000 252.89
